trial_number,value,ATR_MULTIPLIER,VCP_TIGHTNESS_RANGE,BREAKOUT_BUFFER_ATR,BREAKOUT_VOL_MULT,TARGET_RR,TRAIL_ATR_MULT,REGIME_BULL_THRESHOLD
72,0.003149239372101207,1.5519137861269046,0.048100397557667325,0.4595124757278868,0.8559836753070301,2.7471033111940573,2.8019787922916723,53
73,0.03350367780017443,1.570042415546003,0.05263666374083464,0.43738429345571805,0.8134108813441017,2.732304464257957,2.6531183384806227,50
74,0.0114083876459185,1.538451008256469,0.055962788775201236,0.45271427668184494,0.874052728797534,2.695833259550661,2.97085130828865,52
75,0.0018512051312419289,1.5238204805183881,0.051008313720488495,0.4416563355654072,0.8380098749520569,2.779411559922448,2.8489212171556275,55
76,0.006157305861791003,1.5860856349814914,0.05383036025002958,0.4212012507672908,1.1338386707831691,2.7114062346859926,2.9295043647695467,40
77,0.01505687520217039,1.208860861412163,0.0588969519262532,0.44928057252957215,0.8068913370650178,2.755686220066911,2.878871250953438,47
78,-0.01837273151255141,1.5736687560988298,0.05513488745307309,0.46180187773377435,0.895292990985894,2.654234492116859,2.7878993330706443,54
79,0.014902183731183467,1.5033954060941173,0.048621758067339434,0.4308597084331494,0.8001763505829841,2.733009000225822,2.8335362578723053,44
80,0.03948873973760509,1.554949611316983,0.05300689111462192,0.4341152749252219,0.8287119874274063,2.784945295551419,2.762954861585726,49
81,0.0682495306478642,1.5577152628535518,0.052243183032352286,0.4419008476581775,1.0869459845434526,2.7853950755183416,2.7033458319352954,52
82,0.02769463885895968,1.5423233370049914,0.0501163185640729,0.44282883406409845,1.0814416255506718,2.7668048507470306,2.8926603877605928,51
83,0.026020652039573912,1.5686178024020212,0.051888215316441534,0.419595406945848,1.0567004582062907,2.7454612302443584,2.9964335127611674,26
84,0.03886453398752833,1.5924078274489117,0.05411173719598157,0.4674912533711181,1.0900153618554764,2.7970554598704305,2.7229455811110137,54
85,0.055395369247625476,1.3000577760999061,0.047086657628242136,0.438832246089844,1.1162201954139581,2.7164878099810776,2.697996044052783,52
86,-0.0005451720479266952,1.2863705081951045,0.04565014816891485,0.42820384469926653,0.8626131103102308,2.7175050257528675,2.819109369966364,52
87,0.0023191019289988462,1.3563556132641865,0.04712026050401551,0.3000239780722054,1.0749563652079746,2.6818895684301225,2.6912145882509044,50
88,0.05076710057735032,1.2447440508260517,0.05558947552097849,0.45118201228447374,1.1072896375395604,2.769109096474072,2.566090300815413,54
89,0.02634795988767542,1.2445400485423486,0.057943712005976235,0.4560336641156867,1.1208080545300545,2.776790389504533,2.6128733894696485,54
90,0.048230636273339594,1.321593812524943,0.05611542858574749,0.44188906994903654,1.1431214837954307,2.737191411161517,2.542031701198863,53
91,-0.003551503867189684,1.313615523392421,0.05635619126166969,0.45150810812525416,1.150059952929539,2.734447751830656,2.6641027788543346,53
92,0.023720873814514078,1.3185605812790446,0.055503307971140094,0.4399117358512322,1.1058585908343834,2.749579898883138,2.642281543511177,51
93,0.03481852962205064,1.227866240846007,0.05340107846101089,0.4458615869550761,1.125587524397265,2.7703325280472324,2.596279344647362,49
94,-0.020050889429945058,1.2543687652354114,0.05152211693105023,0.4344228962687285,1.1566330295117073,2.712500907804245,2.5665730538681237,53
95,0.022634978080875213,1.277560216875345,0.054522895657773796,0.4266514761347226,1.0741346923499093,2.757403885341599,2.5491252453336455,55
96,0.04017790702305112,1.2250663822356471,0.04292241595384369,0.447917758594604,1.1373154931866623,2.693614163174142,2.771446372256745,52
97,0.0029142793313814063,1.38180377888088,0.056826244008141895,0.4100951068599553,1.1681068576395823,2.7359154578595306,2.6968682361010434,54
98,0.04796500587547034,1.3416914933853965,0.05237945768256659,0.4576735973969003,1.1071136210123145,2.788404398801192,2.8632952896799844,51
99,0.03091374115273068,1.3331054195393068,0.04045603848512808,0.4632919760429483,1.1166726903396533,2.78987399318941,2.7364412206705016,48
100,0.037566122223527704,1.3398421543991226,0.060390757385624945,0.47773384415634657,1.0398630243493843,2.6697887235802327,2.5479978418301625,51
101,0.009498173205913,1.2982801535614068,0.0526714558530534,0.4676738683164047,1.099218408641303,2.7709395023846226,2.8647463860307933,50
102,0.02349984861627433,1.2660176258880291,0.05067249344418224,0.458676466295879,1.1050911269155255,2.7905350942136913,2.936583472503602,52
103,0.033192450503278216,1.3188583981507802,0.05375882964388596,0.44236550613552544,0.8420800547845282,2.7582880124666023,2.833413193648686,51
104,0.025350340071440377,1.3280185669057634,0.057533926779818174,0.4519094212178879,1.0046518985037607,2.776425300527214,2.800571685277198,54
105,0.00696247743146781,1.3918376573775384,0.055095805244534536,0.43729365914229806,1.0680234174457885,2.7235051148585256,2.9078585796444076,53
106,-0.0052968725939505044,1.3049025910520047,0.052101069420811885,0.4556460636621093,1.1691834888274317,2.744829438324348,2.864209280738994,49
