trial_number,value,ATR_MULTIPLIER,VCP_TIGHTNESS_RANGE,BREAKOUT_BUFFER_ATR,BREAKOUT_VOL_MULT,TARGET_RR,TRAIL_ATR_MULT,REGIME_BULL_THRESHOLD,ENGINE3_RS_THRESHOLD,MAX_OPEN_POSITIONS,CCI_STRICT_FLOOR,CCI_RLX_FLOOR
20,0.006732803601649293,1.4943065182154578,0.04730273601635415,0.5456163674036352,0.9905423120353434,2.344424656666153,4.494939656961947,52,-0.04548770855815528,4,-31.654466610326118,-31.224914760735984
21,0.10683364693976262,1.5387615822891847,0.05693101056717396,0.5051691787032111,0.9424598414457768,2.465540601933025,3.366667266217913,58,-0.04474288148299039,4,-43.61537674720048,-21.00164639056972
22,-5.0,1.52929811603119,0.058574411084358104,0.5201267648441155,0.9540928213921005,2.4856394773923314,3.312972249671137,60,-0.04699913653766795,4,-40.48166785895617,-27.600240323632004
23,0.00977729652019185,1.5220482631589531,0.04901092734325406,0.4903742926964229,1.0055570281471122,2.4612529576142945,3.7119219448692764,55,-0.06773857800669712,4,-29.206597341244358,-32.69624521885492
24,-5.0,1.525651891322142,0.044513130547075064,0.5170427811619812,0.8462483179809756,2.547246807816245,3.3953407071169384,63,-0.04329621469767857,4,-33.92261716318077,-19.422594435401127
25,0.03308808849557522,1.4404717551540724,0.03932175929448891,0.4716222592159582,0.9430532470498463,2.600696912413479,3.984412792743109,57,-0.05563977367532389,5,-51.321883128696655,-27.36435660680047
26,-5.0,1.5031697867384548,0.05899254505008893,0.5195991231521973,1.0326248929154511,2.36071105767206,3.431296321732707,59,-0.030894072234266316,3,-40.81347825930378,-10.849065742166319
27,-0.0011357260275453255,1.5458176136819661,0.0509298605998032,0.3993995998639778,0.8588329976462953,2.443691646692163,3.7570537888034305,55,-0.06438730375447178,4,-60.231810756364005,-21.66484695482614
28,-5.0,1.596442107372702,0.04542389417320716,0.5036794182649068,0.9261182945517965,2.277506572089581,3.018898436456613,63,-0.04173133556872024,4,-45.63864234756644,-33.64061427459671
29,0.022699881032564585,1.3798822222895726,0.06271963501527003,0.48167730542590126,1.0786713795896214,2.3563384207733646,4.177228528352646,57,-0.07805682957034929,4,-31.480605546338353,-17.09026751539504
30,-0.0028062123070438094,1.4499211978686015,0.05491636352717413,0.36152811800762485,0.9842859479512862,2.483866549690039,3.2369983943670086,53,-0.011963430866443834,4,-40.141414838141664,-26.263530594102033
31,-5.0,1.3991108248099533,0.054284527353095136,0.4502324804700475,0.9174271935573933,2.2687345539228714,2.70974491858526,59,-0.027363596658170737,4,-47.026182430643075,-22.92038234423999
32,0.01509618576692617,1.4208793683227527,0.04977027600748149,0.4193948628894649,0.8720599808598608,2.3154722180556484,2.6832894818538024,58,-0.0510201809174991,4,-48.59831694568439,-21.401227395302993
33,0.028568530939922045,1.3292467375923347,0.0662219885652692,0.4750373421155615,0.9729102800253538,2.2280403469388252,2.9438053154799304,56,-0.03279655190877138,4,-42.01132436483198,-30.759211740584117
